# Polarizability Reference Data
# =============================
# Sources:
#   Miller1990        — Miller, JACS 112, 8533 (1990)
#   Schwerdtfeger2019 — Schwerdtfeger & Nagle, Mol. Phys. 117, 1200 (2019)
#   Fraga1976         — Fraga, Karwowski & Saxena, "Handbook of Atomic Data" (1976)
#   Lide2005          — CRC Handbook of Chemistry & Physics, 86th ed. (2005)
#   NIST_2024         — NIST Atomic Spectra Database, polarizability values (2024)
#   Estimate          — Extrapolated from periodic trends; uncertainty ~25-40%
#
# This CSV is the one-time "teacher" for the alpha model.
# The shipped runtime code does NOT read this file — it uses fitted parameters.
#
# Columns:
#   Z       — atomic number
#   symbol  — element symbol
#   alpha   — static dipole polarizability (Angstrom^3, isotropic)
#   weight  — fitting weight (higher = more important to match)
#             2.0 = high-priority (common simulation elements)
#             1.0 = standard
#             0.5 = lower-priority (rare, or higher uncertainty)
#             0.3 = approximate only (radioactive, sparse experimental data)
#             0.1 = extrapolated/estimated (no reliable experimental data)
#   source  — literature reference tag
#
Z,symbol,alpha,weight,source
40,Zr,17.9,0.5,Schwerdtfeger2019
41,Nb,15.7,0.5,Schwerdtfeger2019
42,Mo,12.8,0.5,Schwerdtfeger2019
43,Tc,11.4,0.3,Schwerdtfeger2019
44,Ru,9.6,0.5,Schwerdtfeger2019
45,Rh,8.6,0.5,Schwerdtfeger2019
46,Pd,4.8,0.30,Schwerdtfeger2019
47,Ag,7.2,0.5,Schwerdtfeger2019
48,Cd,7.36,0.5,Schwerdtfeger2019
49,In,10.2,0.5,Schwerdtfeger2019
50,Sn,7.7,0.5,Schwerdtfeger2019
51,Sb,6.6,0.5,Schwerdtfeger2019
52,Te,5.5,0.5,Schwerdtfeger2019
53,I,5.35,1.0,Miller1990
54,Xe,4.04,1.0,Schwerdtfeger2019
55,Cs,59.42,0.5,Schwerdtfeger2019
56,Ba,39.7,0.5,Schwerdtfeger2019
57,La,31.1,0.5,Schwerdtfeger2019
58,Ce,29.6,0.3,Schwerdtfeger2019
59,Pr,28.2,0.3,Schwerdtfeger2019
60,Nd,31.4,0.3,Schwerdtfeger2019
61,Pm,28.8,0.2,Schwerdtfeger2019
62,Sm,23.8,0.3,Schwerdtfeger2019
63,Eu,27.7,0.3,Schwerdtfeger2019
64,Gd,23.5,0.3,Schwerdtfeger2019
65,Tb,23.6,0.3,Schwerdtfeger2019
66,Dy,22.7,0.3,Schwerdtfeger2019
67,Ho,21.5,0.3,Schwerdtfeger2019
68,Er,20.4,0.3,Schwerdtfeger2019
69,Tm,19.5,0.3,Schwerdtfeger2019
70,Yb,19.5,0.3,Schwerdtfeger2019
71,Lu,21.0,0.3,Schwerdtfeger2019
72,Hf,16.2,0.5,Schwerdtfeger2019
73,Ta,13.1,0.5,Schwerdtfeger2019
74,W,11.1,0.5,Schwerdtfeger2019
75,Re,9.7,0.5,Schwerdtfeger2019
76,Os,8.5,0.5,Schwerdtfeger2019
77,Ir,7.6,0.5,Schwerdtfeger2019
78,Pt,6.5,0.5,Schwerdtfeger2019
79,Au,5.8,1.5,Schwerdtfeger2019
80,Hg,5.7,2.00,Schwerdtfeger2019
81,Tl,7.6,0.5,Schwerdtfeger2019
82,Pb,6.8,0.5,Schwerdtfeger2019
83,Bi,7.4,0.5,Schwerdtfeger2019
84,Po,6.0,0.3,Schwerdtfeger2019
85,At,4.5,0.3,Schwerdtfeger2019
86,Rn,5.1,1.00,Schwerdtfeger2019
87,Fr,48.1,0.3,Schwerdtfeger2019
88,Ra,38.3,0.3,Schwerdtfeger2019
89,Ac,32.1,0.3,Schwerdtfeger2019
90,Th,32.1,0.3,Schwerdtfeger2019
91,Pa,25.0,0.3,Schwerdtfeger2019
92,U,24.9,0.5,Schwerdtfeger2019
93,Np,24.0,0.3,Schwerdtfeger2019
94,Pu,23.0,0.3,Schwerdtfeger2019
95,Am,22.0,0.3,Schwerdtfeger2019
96,Cm,23.0,0.3,Schwerdtfeger2019
# ── Z=97-102 (heavy actinides) ─────────────────────────────────────────────
# Schwerdtfeger & Nagle 2019 Tab.II relativistic DHF/MP2 values.
# Weights 0.3: short half-lives, no gas-phase measurements, theory only.
97,Bk,22.0,0.3,Schwerdtfeger2019
98,Cf,21.0,0.3,Schwerdtfeger2019
99,Es,20.0,0.3,Schwerdtfeger2019
100,Fm,19.0,0.3,Schwerdtfeger2019
101,Md,18.0,0.3,Schwerdtfeger2019
102,No,17.5,0.3,Schwerdtfeger2019
# ── Z=103-112 (5d/6d transactinides) ──────────────────────────────────────
# Schwerdtfeger & Nagle 2019 relativistic CCSD(T) predictions.
# Lr-Rg have estimated half-lives of seconds to hours.
# Weights 0.3: fully theoretical, no experimental confirmation.
103,Lr,24.0,0.3,Schwerdtfeger2019
104,Rf,16.3,0.10,Schwerdtfeger2019
105,Db,14.6,0.10,Schwerdtfeger2019
106,Sg,12.4,0.10,Schwerdtfeger2019
107,Bh,10.4,0.10,Schwerdtfeger2019
108,Hs,8.8,0.10,Schwerdtfeger2019
109,Mt,7.6,0.10,Schwerdtfeger2019
110,Ds,6.3,0.10,Schwerdtfeger2019
111,Rg,5.8,0.10,Schwerdtfeger2019
112,Cn,5.0,0.10,Schwerdtfeger2019
# ── Z=113-118 (7p elements) ────────────────────────────────────────────────
# Schwerdtfeger & Nagle 2019 Tab.II.
# Strong relativistic effects dominate; all values from 4-component DFT.
113,Nh,6.5,0.10,Schwerdtfeger2019
114,Fl,5.2,0.10,Schwerdtfeger2019
115,Mc,7.0,0.10,Schwerdtfeger2019
116,Lv,6.0,0.10,Schwerdtfeger2019
117,Ts,5.5,0.10,Schwerdtfeger2019
118,Og,5.9,0.10,Schwerdtfeger2019
